timestamp,openinUSD,high (USD),low (USD),close (USD),volume,market cap (USD)
6/13/2023,27210.36,27455.02,25351.02,25945.63,490112.2992,490112.2992
5/31/2023,29233.2,29820,25811.46,27210.35,1302000.492,1302000.492
4/30/2023,28465.36,31000,26942.82,29233.21,1626745.559,1626745.559
3/31/2023,23141.57,29184.68,19549.09,28465.36,9516189.358,9516189.358
2/28/2023,23125.13,25250,21351.07,23141.57,8642691.272,8642691.272
1/31/2023,16541.77,23960.54,16499.01,23125.13,7977028.878,7977028.878
12/31/2022,17165.53,18387.95,16256.3,16542.4,5803833.882,5803833.882
11/30/2022,20490.74,21480.65,15476,17163.64,9127693.509,9127693.509
10/31/2022,19422.61,21085,18190,20490.74,7499121.815,7499121.815
9/30/2022,20048.44,22799,18125.98,19422.61,9838930.537,9838930.537
8/31/2022,23296.36,25211.32,19520,20050.02,5692462.416,5692462.416
7/31/2022,19942.21,24668,18781,23293.32,4983278.588,4983278.588
6/30/2022,31801.05,31982.97,17622,19942.21,2816058.473,2816058.473
5/31/2022,37630.8,40023.77,26700,31801.04,2387839.681,2387839.681
4/30/2022,45510.35,47444.11,37578.2,37630.8,1267655.682,1267655.682
3/31/2022,43160,48189.84,37155,45510.34,1501398.796,1501398.796
2/28/2022,38466.9,45821,34322.28,43160,1253514.219,1253514.219
1/31/2022,46216.93,47990,32917.17,38466.9,1279407.466,1279407.466
12/31/2021,56950.56,59053.55,42000.3,46216.93,1233745.524,1233745.524
11/30/2021,61299.81,69000,53256.64,56950.56,1291900.105,1291900.105
10/31/2021,43820.01,67000,43283.03,61299.8,1565556.293,1565556.293
9/30/2021,47100.89,52920,39600,43824.1,1527799.511,1527799.511
8/31/2021,41461.84,50500,37332.7,47100.89,1635402.874,1635402.874
7/31/2021,35045,42448,29278,41461.83,1778463.265,1778463.265
6/30/2021,37253.82,41330,28805,35045,2901775.306,2901775.306
5/31/2021,57697.25,59500,30000,37253.81,3536245.257,3536245.257
4/30/2021,58739.46,64854,46930,57694.27,1993468.938,1993468.938
3/31/2021,45134.11,61844,44950.53,58740.55,2098808.027,2098808.027
2/28/2021,33092.97,58352.8,32296.16,45135.66,2518242.149,2518242.149
1/31/2021,28923.63,41950,28130,33092.98,3440864.75,3440864.75
12/31/2020,19695.87,29300,17572.33,28923.63,2495281.856,2495281.856
11/30/2020,13791,19863.16,13195.05,19695.87,2707064.911,2707064.911
10/31/2020,10776.59,14100,10374,13791,1592634.42,1592634.42
